,date,symbol,open,close,low,high,volume
125105,2011-01-24,DVA,35.375,35.334999,35.174999,35.59,743000.0
125575,2011-01-25,DVA,35.41,36.715,35.34,37.0999985,2752000.0
126045,2011-01-26,DVA,36.715,36.755001,36.4850005,36.8849985,1377800.0
126515,2011-01-27,DVA,36.7599985,37.654999,36.665001,38.049999,2636800.0
126985,2011-01-28,DVA,37.66,37.1399995,36.959999,37.779999,1454200.0
127455,2011-01-31,DVA,37.1500015,36.924999,36.785,37.419998,1929200.0
127925,2011-02-01,DVA,37.0649985,37.375,37.0250015,37.6949995,1567600.0
128395,2011-02-02,DVA,37.345001,37.3050005,37.2400015,37.455002,791600.0
128865,2011-02-03,DVA,37.209999,37.4300005,36.9799995,37.584999,922600.0
129335,2011-02-04,DVA,38.1100005,38.279999,38.049999,39.1399995,2122600.0
129805,2011-02-07,DVA,38.3199995,37.9799995,37.919998,38.619999,1160400.0
130275,2011-02-08,DVA,38.044998,38.380001,37.994999,38.3849985,1129800.0
130745,2011-02-09,DVA,38.25,37.994999,37.8499985,38.330002,1203200.0
131215,2011-02-10,DVA,37.8899995,38.084999,37.720001,38.095001,1039400.0
131685,2011-02-11,DVA,38.5149995,39.255001,38.4399985,39.8499985,3085000.0
132155,2011-02-14,DVA,39.2350005,39.279999,38.834999,39.3650015,2300800.0
132625,2011-02-15,DVA,39.0250015,39.5550005,38.75,39.5999985,1920600.0
133095,2011-02-16,DVA,39.630001,40.049999,39.59,40.16,1822000.0
133565,2011-02-17,DVA,39.830002,40.0200005,39.6049995,40.044998,1512000.0
134035,2011-02-18,DVA,40.029999,39.834999,39.720001,40.209999,1954400.0
134505,2011-02-22,DVA,39.4399985,39.154999,39.0999985,39.75,1322400.0
134975,2011-02-23,DVA,39.1850015,38.8050005,38.5200005,39.2299995,1724800.0
135445,2011-02-24,DVA,38.7350005,38.7599985,38.540001,39.029999,1389400.0
135915,2011-02-25,DVA,38.904999,39.290001,38.875,39.3050005,910200.0
136385,2011-02-28,DVA,39.380001,39.6850015,39.200001,39.6850015,1802800.0
136855,2011-03-01,DVA,39.755001,39.7649995,39.6500015,40.1500015,1485400.0
137325,2011-03-02,DVA,39.705002,40.325001,39.580002,40.5149995,1319000.0
137795,2011-03-03,DVA,40.705002,40.4000015,40.290001,40.799999,1282200.0
138265,2011-03-04,DVA,40.459999,41.880001,40.4300005,42.3199995,3768400.0
138735,2011-03-07,DVA,41.9799995,41.2400015,41.0,42.2249985,1656400.0
139205,2011-03-08,DVA,41.369999,41.5600015,41.369999,41.8499985,1490600.0
139675,2011-03-09,DVA,41.5,41.16,41.1450005,41.535,1421600.0
140145,2011-03-10,DVA,40.959999,40.4449995,40.294998,40.959999,1999600.0
140615,2011-03-11,DVA,40.3499985,40.8899995,40.1800005,41.0649985,1634600.0
141085,2011-03-14,DVA,40.720001,40.779999,40.455002,40.955002,1177200.0
141555,2011-03-15,DVA,40.220001,40.2649995,39.875,40.5099985,2062000.0
142025,2011-03-16,DVA,40.174999,39.6850015,39.5,40.3499985,2031200.0
142495,2011-03-17,DVA,40.2649995,40.279999,39.875,40.465,1850000.0
142965,2011-03-18,DVA,40.575001,39.8849985,39.790001,40.6450005,2126400.0
143435,2011-03-21,DVA,40.255001,39.8600005,39.595001,40.299999,1422400.0
143905,2011-03-22,DVA,40.1450005,40.8100015,39.875,41.0099985,2016400.0
144375,2011-03-23,DVA,40.674999,41.4350015,40.619999,41.6850015,2071600.0
144845,2011-03-24,DVA,41.5200005,41.419998,41.0699995,41.5250015,1349600.0
145315,2011-03-25,DVA,41.5,41.59,41.424999,41.8549995,834200.0
145785,2011-03-28,DVA,41.6450005,41.505001,41.4900015,41.875,878000.0
146255,2011-03-29,DVA,41.345001,41.505001,41.169998,41.5099985,1244200.0
146725,2011-03-30,DVA,41.669998,42.0649985,41.494999,42.16,1079800.0
147195,2011-03-31,DVA,41.9850005,42.755001,41.9850005,42.9449995,2098600.0
147665,2011-04-01,DVA,43.035,43.2649995,42.799999,43.674999,2269200.0
148135,2011-04-04,DVA,43.470001,43.3849985,43.1049995,44.040001,2013400.0
148605,2011-04-05,DVA,43.375,43.1349985,43.1049995,43.419998,1518000.0
149075,2011-04-06,DVA,43.25,43.465,43.25,43.529999,1266400.0
149545,2011-04-07,DVA,43.4000015,43.4799995,43.25,43.7649995,1045000.0
150015,2011-04-08,DVA,43.7299995,43.334999,43.174999,43.8899995,1122000.0
150485,2011-04-11,DVA,43.2400015,43.3149985,42.950001,43.450001,1339000.0
150955,2011-04-12,DVA,43.279999,43.220001,43.080002,43.7400015,1251600.0
151425,2011-04-13,DVA,43.3100015,43.3499985,43.080002,43.4900015,1399600.0
151895,2011-04-14,DVA,43.174999,43.4749985,42.965,43.549999,1388800.0
152365,2011-04-15,DVA,43.6049995,43.5200005,43.3650015,43.8849985,1700600.0
152835,2011-04-18,DVA,43.1800005,43.0600015,42.665001,43.25,1202000.0
153305,2011-04-19,DVA,43.075001,43.3849985,42.84,43.424999,1500400.0
153775,2011-04-20,DVA,43.75,43.6949995,43.5099985,44.084999,1354600.0
154245,2011-04-21,DVA,43.794998,43.8600005,43.665001,44.0649985,3079600.0
154715,2011-04-25,DVA,43.84,43.9850005,43.5999985,44.165001,1052000.0
155185,2011-04-26,DVA,44.049999,43.91,43.845001,44.494999,1549800.0
155655,2011-04-27,DVA,44.0250015,43.924999,43.6450005,44.080002,2242800.0
156125,2011-04-28,DVA,43.919998,44.09,43.709999,44.0999985,1974600.0
156595,2011-04-29,DVA,44.0699995,44.044998,43.904999,44.1800005,1890000.0
157065,2011-05-02,DVA,44.2400015,44.584999,44.1100005,44.790001,3609600.0
157535,2011-05-03,DVA,44.4900015,42.950001,42.299999,44.5,6721400.0
158005,2011-05-04,DVA,42.9850005,42.700001,42.584999,43.130001,1993400.0
158475,2011-05-05,DVA,42.5999985,42.2350005,41.9399985,42.8499985,2732400.0
158945,2011-05-06,DVA,42.3050005,42.1800005,41.8499985,42.75,2186400.0
